Designator,Mid X,Mid Y,Layer,Rotation
C473,91.61500000000001mm,66.485mm,Bottom,0.0
C472,91.61500000000001mm,68.335mm,Bottom,180.0
U470,96.555mm,67.43799999999999mm,Top,0.0
R471,97.61500000000001mm,67.485mm,Bottom,180.0
C471,97.565mm,66.485mm,Bottom,180.0
C470,95.44mm,66.485mm,Bottom,0.0
C752,103.805mm,28.55mm,Bottom,270.0
C753,105.73mm,28.525mm,Bottom,90.0
C755,100.605mm,26.525mm,Bottom,90.0
C756,100.605mm,24.39mm,Bottom,90.0
C757,101.555mm,24.39mm,Bottom,90.0
C760,107.305mm,19.200000000000003mm,Bottom,0.0
C761,99.715mm,16.25mm,Bottom,270.0
C762,105.469611mm,19.196437mm,Bottom,180.0
C764,100.605mm,28.345mm,Bottom,270.0
C766,99.675mm,28.395000000000003mm,Bottom,270.0
R752,105.356mm,16.959253mm,Bottom,90.0
R753,107.28mm,16.959253mm,Bottom,270.0
R754,101.555mm,28.450000000000003mm,Bottom,270.0
R757,102.505mm,28.4mm,Bottom,90.0
R760,104.78mm,28.525mm,Bottom,90.0
R761,101.555mm,26.575000000000003mm,Bottom,270.0
R762,102.505mm,26.5mm,Bottom,270.0
R763,107.815mm,28.41mm,Bottom,90.0
R765,99.675mm,24.39mm,Bottom,270.0
R766,102.504927mm,24.402915mm,Bottom,270.0
U752,100.905mm,21.4mm,Bottom,90.0
U753,105.755mm,23.615717mm,Bottom,0.0
U757,101.984216mm,17.3mm,Bottom,90.0
C751,106.405mm,20.375mm,Top,0.0
C754,107.385mm,23.950000000000003mm,Top,180.0
C758,107.385mm,26.25mm,Top,0.0
C759,105.393407mm,23.950000000000003mm,Top,180.0
C763,104.155mm,16.25mm,Top,270.0
C765,102.33500000000001mm,19.41mm,Top,90.0
C767,105.393407mm,26.25mm,Top,180.0
C768,101.08500000000001mm,21.64mm,Top,180.0
C769,104.805mm,28.740000000000002mm,Top,270.0
D751,102.915mm,16.69mm,Top,90.0
R751,101.305mm,16.55mm,Top,270.0
R755,105.005mm,20.89mm,Top,270.0
R756,107.88mm,20.845mm,Top,90.0
R758,106.440785mm,21.6mm,Top,0.0
R759,104.005mm,20.89mm,Top,90.0
R764,107.385mm,24.950000000000003mm,Top,180.0
R767,105.393407mm,22.950000000000003mm,Top,0.0
R768,105.393407mm,24.950000000000003mm,Top,180.0
R769,107.385mm,22.950000000000003mm,Top,180.0
R770,103.995mm,18.990000000000002mm,Top,90.0
U751,106.323403mm,17.625706mm,Top,270.0
U754,101.705mm,25.79803mm,Top,0.0
U755,100.415mm,19.61mm,Top,90.0
U756,106.805mm,28.146795mm,Top,180.0
C771,103.11mm,44.865mm,Top,0.0
C772,103.81mm,49.765mm,Top,270.0
C773,102.462095mm,49.765mm,Top,270.0
D771,100.61mm,46.665mm,Top,270.0
R771,106.81mm,40.265mm,Top,270.0
R772,103.01mm,38.365mm,Top,0.0
R773,104.41mm,41.965mm,Top,270.0
R774,101.91mm,41.965mm,Top,270.0
R775,103.11mm,46.165mm,Top,0.0
R776,100.66mm,49.765mm,Top,270.0
R777,103.11mm,47.665mm,Top,0.0
U771,106.31mm,47.565mm,Top,90.0
C601,47.309999999999995mm,72.925mm,Bottom,90.0
C602,48.26mm,72.925mm,Bottom,90.0
C603,48.26mm,75.125mm,Bottom,270.0
C604,49.209999999999994mm,72.925mm,Bottom,90.0
C605,35.385mm,74.583332mm,Bottom,180.0
C606,49.209999999999994mm,75.125mm,Bottom,90.0
C607,31.709999999999997mm,70.7mm,Bottom,180.0
C608,48.985mm,64.45mm,Bottom,0.0
C617,54.809999999999995mm,67.100372mm,Bottom,90.0
C618,52.385064mm,72.7mm,Bottom,180.0
D604,52.785mm,74.875mm,Bottom,0.0
R602,40.485mm,69.825mm,Bottom,0.0
R603,41.26mm,67.825mm,Bottom,180.0
R604,47.309999999999995mm,75.125mm,Bottom,270.0
R605,41.285mm,68.825mm,Bottom,0.0
R606,32.684999999999995mm,69.55mm,Bottom,0.0
R607,35.385mm,75.65mm,Bottom,0.0
R608,39.385mm,68.825mm,Bottom,180.0
R609,46.385mm,64.475mm,Bottom,0.0
R610,37.309999999999995mm,72.075mm,Bottom,0.0
R611,35.385mm,72.075mm,Bottom,0.0
R612,35.385mm,73.341666mm,Bottom,180.0
R613,45.41mm,66.175mm,Bottom,270.0
R614,48.989290999999994mm,65.4mm,Bottom,180.0
R615,46.934999999999995mm,65.875mm,Bottom,180.0
R616,31.734999999999996mm,65.9mm,Bottom,0.0
R618,44.01mm,67.825mm,Bottom,0.0
R619,43.184999999999995mm,68.825mm,Bottom,0.0
R620,43.184999999999995mm,69.825mm,Bottom,180.0
R621,54.809999999999995mm,64.965mm,Bottom,90.0
