Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
G4,39.625000mm,48.855000mm,Top,90.0,39.625000mm,48.855000mm
J1,16.355000mm,38.455000mm,Top,90.0,16.355000mm,38.455000mm
J2,92.475000mm,38.455000mm,Top,-90.0,92.475000mm,38.455000mm
J3,50.425000mm,6.095000mm,Top,90.0,50.425000mm,6.095000mm
J6,60.175000mm,75.475000mm,Top,90.0,60.175000mm,75.475000mm
J8,51.625000mm,16.945000mm,Top,0.0,51.625000mm,16.945000mm
L1,95.815000mm,13.845000mm,Top,180.0,95.815000mm,13.845000mm
L2,89.275000mm,13.865000mm,Top,0.0,89.275000mm,13.865000mm
M1,27.789999mm,2.139999mm,Top,0.0,27.789999mm,2.139999mm
M2,99.215000mm,69.085000mm,Top,180.0,99.215000mm,69.085000mm
M3,108.655000mm,14.800000mm,Top,90.0,108.655000mm,14.800000mm
M4,108.610000mm,36.765000mm,Top,90.0,108.610000mm,36.765000mm
M5,56.410000mm,76.625000mm,Top,180.0,56.410000mm,76.625000mm
M6,82.085000mm,56.684990mm,Top,180.0,82.085000mm,56.684990mm
P1,85.025000mm,28.465000mm,Top,0.0,85.025000mm,28.465000mm
P2,85.025000mm,25.685000mm,Top,0.0,85.025000mm,25.685000mm
P3,64.005000mm,17.385000mm,Top,0.0,64.005000mm,17.385000mm
P4,61.505000mm,17.385000mm,Top,0.0,61.505000mm,17.385000mm
P5,106.455000mm,31.555000mm,Top,0.0,106.455000mm,31.555000mm
P6,103.035000mm,54.265000mm,Top,0.0,103.035000mm,54.265000mm
P7,79.715000mm,17.375000mm,Top,90.0,79.715000mm,17.375000mm
P8,76.935000mm,17.375000mm,Top,90.0,76.935000mm,17.375000mm
P9,27.795000mm,48.545000mm,Top,0.0,27.795000mm,48.545000mm
P10,35.785000mm,26.845000mm,Top,0.0,35.785000mm,26.845000mm
P15,38.395000mm,26.845000mm,Top,90.0,38.395000mm,26.845000mm
P16,40.505000mm,26.845000mm,Top,-90.0,40.505000mm,26.845000mm
P17,39.455000mm,28.935000mm,Top,90.0,39.455000mm,28.935000mm
P18,41.535000mm,28.935000mm,Top,-90.0,41.535000mm,28.935000mm
Q7,13.127500mm,68.481250mm,Top,90.0,13.127500mm,68.481250mm
